id,nombre,familia,orden,carbohidratos,proteinas,grasas,calorias,azucar
1208,Main,Rutaceae,Fabales,8.0,1.3,0.4,67.0,8.04551912568306
1209,Employee,Rosaceae,Zingiberales,24.3,4.2,1.5,41.0,8.04551912568306
1210,Energy,Rutaceae,Sapindales,28.5,3.9,0.6,53.0,9.6
1211,Manage,Musaceae,Zingiberales,11.5,4.0,0.9,39.0,13.3
1212,Foot,Solanaceae,Solanales,7.5,3.9,1.3491666666666666,75.26041666666667,11.3
1213,With,Musaceae,Fabales,19.3,4.3,1.4,82.0,8.5
1214,Town,Rosaceae,Zingiberales,8.3,5.0,2.0,117.0,7.1
1215,Compare,Rutaceae,Solanales,21.9,0.4,0.3,95.0,13.7
1216,Early,Rutaceae,Solanales,6.9,2.5,0.9,68.0,12.1
1217,Anything,Solanaceae,Solanales,21.9,1.4,0.3,92.0,6.2
1218,And,Rosaceae,Rosales,16.8,4.1,0.5,114.0,8.04551912568306
1219,,Fabaceae,Sapindales,15.9,2.3,1.9,63.0,10.8
1220,,Musaceae,Zingiberales,9.8,1.4,1.7,92.0,6.7
1221,Pull,Solanaceae,Solanales,16.0,2.8,1.8,44.0,14.9
1222,New,Musaceae,Solanales,8.1,3.8,1.3491666666666666,90.0,8.04551912568306
1223,Ground,Rutaceae,Solanales,9.9,2.237173913043478,1.2,55.0,9.8
1224,Executive,Rutaceae,Zingiberales,13.5,1.9,1.0,63.0,2.9
1225,If,Rutaceae,Sapindales,15.540382513661198,2.0,2.0,86.0,8.04551912568306
1226,Quickly,Rosaceae,Sapindales,14.7,2.237173913043478,1.3491666666666666,98.0,8.04551912568306
1227,My,Rosaceae,Sapindales,15.540382513661198,1.8,1.8,79.0,4.9
1228,Evening,Rosaceae,Rosales,10.3,1.5,1.6,114.0,1.4
1229,Population,Rosaceae,Fabales,8.4,2.7,1.7,37.0,6.8
1230,Investment,Rosaceae,Rosales,15.540382513661198,3.9,1.3,95.0,3.2
1231,Simply,Rutaceae,Zingiberales,26.0,4.0,1.3491666666666666,80.0,6.7
1232,Office,Musaceae,Fabales,16.0,4.8,0.3,73.0,8.3
1233,As,Rosaceae,Rosales,15.5,3.7,1.4,93.0,5.9
1234,Current,Solanaceae,Zingiberales,21.8,1.8,1.8,105.0,8.3
1235,Father,Musaceae,Solanales,9.7,5.0,1.6,37.0,3.2
1236,Spring,Musaceae,Rosales,15.540382513661198,2.237173913043478,0.5,57.0,10.7
1237,Exactly,Fabaceae,Rosales,13.7,4.9,1.1,81.0,13.0
1238,Mr,Musaceae,Zingiberales,18.2,2.0,0.8,60.0,12.7
1239,Chair,Rutaceae,Rosales,12.9,2.237173913043478,1.7,41.0,8.04551912568306
1240,Open,Musaceae,Fabales,17.4,0.3,0.8,82.0,3.6
1241,Perform,Solanaceae,Sapindales,14.5,0.6,0.6,75.0,8.5
1242,Material,Fabaceae,Solanales,9.8,1.8,0.8,43.0,15.0
1243,Foreign,Musaceae,Zingiberales,5.4,2.237173913043478,0.3,30.0,2.3
1244,Need,Musaceae,Sapindales,15.540382513661198,3.1,0.8,75.26041666666667,13.1
1245,Participant,Rosaceae,Rosales,14.8,4.7,0.9,101.0,14.5
1246,Resource,Rosaceae,Solanales,17.1,1.5,1.4,87.0,14.8
1247,Blue,Fabaceae,Zingiberales,17.0,4.8,0.3,71.0,11.6
1248,Agreement,Rosaceae,Sapindales,15.540382513661198,0.8,1.1,58.0,2.9
1249,Service,Solanaceae,Sapindales,17.7,3.7,1.3491666666666666,86.0,4.9
1250,Begin,Rutaceae,Fabales,17.5,2.9,0.8,86.0,7.7
1251,Buy,Solanaceae,Fabales,27.0,0.4,1.3,88.0,5.8
1252,Candidate,Fabaceae,Rosales,10.8,4.5,1.3491666666666666,63.0,4.0
1253,Charge,Solanaceae,Rosales,25.5,0.5,1.5,74.0,13.2
1254,,Rutaceae,Sapindales,13.6,3.6,1.5,68.0,8.04551912568306
1255,True,Musaceae,Solanales,6.8,2.1,1.7,60.0,13.9
1256,Require,Rutaceae,Fabales,17.8,2.237173913043478,1.1,74.0,3.1
1257,She,Rutaceae,Fabales,8.5,4.2,0.4,70.0,10.2
1258,,Rosaceae,Rosales,15.540382513661198,3.9,0.9,40.0,6.9
1259,My,Rutaceae,Sapindales,20.2,1.5,1.2,98.0,5.9
1260,There,Rosaceae,Zingiberales,15.540382513661198,1.1,1.5,67.0,12.3
1261,,Rutaceae,Fabales,12.7,4.4,1.0,106.0,13.9
1262,Whatever,Musaceae,Zingiberales,27.5,1.4,1.5,92.0,8.04551912568306
1263,Whatever,Fabaceae,Fabales,28.2,1.5,0.5,82.0,7.9
1264,Live,Fabaceae,Rosales,12.3,3.0,0.7,113.0,2.1
1265,Eight,Rutaceae,Zingiberales,22.3,2.6,1.3,92.0,12.6
1266,Artist,Rutaceae,Zingiberales,14.0,2.237173913043478,0.8,82.0,7.8
1267,Official,Solanaceae,Fabales,19.2,1.5,1.3,85.0,13.6
1268,Upon,Rosaceae,Sapindales,26.5,3.5,0.9,32.0,7.4
1269,Identify,Rosaceae,Fabales,15.540382513661198,1.6,0.8,47.0,8.9
1270,Artist,Rosaceae,Solanales,13.9,0.1,1.9,106.0,4.3
1271,Human,Fabaceae,Sapindales,23.2,4.2,2.0,41.0,6.4
1272,Wife,Musaceae,Rosales,14.1,2.0,1.7,55.0,14.4
1273,Computer,Rutaceae,Rosales,22.0,1.8,1.3491666666666666,65.0,2.8
1274,Son,Fabaceae,Rosales,26.2,3.5,1.5,56.0,8.9
1275,Lead,Rosaceae,Fabales,18.5,3.7,0.2,109.0,7.2
1276,Tax,Musaceae,Rosales,29.7,2.7,1.9,67.0,4.8
1277,Bad,Solanaceae,Solanales,22.0,2.0,1.2,47.0,4.1
1278,Hand,Rutaceae,Fabales,13.3,0.5,0.3,110.0,2.2
1279,Agent,Solanaceae,Sapindales,23.9,3.2,1.5,95.0,5.8
1280,Administration,Musaceae,Zingiberales,8.4,1.3,1.5,44.0,6.5
1281,After,Musaceae,Fabales,28.4,0.7,1.7,75.26041666666667,12.5
1282,Wife,Solanaceae,Rosales,27.5,1.8,1.0,56.0,7.1
1283,Young,Musaceae,Sapindales,21.5,3.6,0.6,56.0,8.6
1284,Direction,Rosaceae,Sapindales,8.5,4.5,1.9,92.0,4.9
1285,Boy,Fabaceae,Rosales,13.2,3.3,1.1,104.0,8.6
1286,Term,Rutaceae,Zingiberales,16.0,3.0,1.7,39.0,12.9
1287,Fear,Fabaceae,Zingiberales,13.4,3.9,1.0,119.0,11.5
1288,Sure,Musaceae,Fabales,13.9,0.3,1.3,115.0,1.2
1289,,Musaceae,Solanales,25.1,4.2,0.1,62.0,1.2
1290,Dark,Rosaceae,Rosales,29.6,2.237173913043478,0.3,41.0,1.0
1291,Even,Rutaceae,Sapindales,27.5,2.237173913043478,0.9,88.0,4.2
1292,It,Rutaceae,Solanales,12.8,2.4,0.1,62.0,1.4
1293,Husband,Musaceae,Sapindales,12.5,0.3,1.2,43.0,4.3
1294,Follow,Rosaceae,Zingiberales,15.540382513661198,3.1,0.2,37.0,11.1
